"","REGION","EGEOLOC","q3_age","SUD_Type","StUD_Year","n","freq"
"404",3,44,"Adolescent","All",2011,9,0.113550340651022
"405",3,44,"Adolescent","All",2012,10,0.126167045167802
"406",3,44,"Adolescent","All",2013,8,0.100933636134242
"407",3,44,"Adolescent","All",2014,10,0.126167045167802
"408",3,44,"Adolescent","All",2015,10,0.126167045167802
"409",3,44,"Adolescent","Cocaine",2009,2,0.0252334090335604
"410",3,44,"Adolescent","Cocaine",2010,9,0.113550340651022
"411",3,44,"Adolescent","Cocaine",2011,3,0.0378501135503407
"412",3,44,"Adolescent","Cocaine",2012,4,0.0504668180671209
"413",3,44,"Adolescent","Cocaine",2014,6,0.0757002271006813
"414",3,44,"Adolescent","Cocaine",2015,8,0.100933636134242
"415",3,46,"Adolescent","All",2009,2,0.0252334090335604
"416",3,46,"Adolescent","All",2010,3,0.0378501135503407
"417",3,46,"Adolescent","All",2011,2,0.0252334090335604
"418",3,46,"Adolescent","All",2012,3,0.0378501135503407
"419",3,46,"Adolescent","All",2013,7,0.0883169316174615
"420",3,46,"Adolescent","All",2014,5,0.0630835225839011
